References,Value,Footprint,Digi-Key,Mouser,Quantity
"C1, C7, C19, C28, C29, C30, C34, C35, C37, C39, C40, C47, C48, C61, C69, C79, C84","0,1u",CAP_DISC_P100mil,445-173588-1-ND,81-RCER71H104K0K1H3B,17
"C2, C3, C4, C6, C76, C90",470pF,CAP_DISC_P100mil,445-173500-1-ND,81-RCER71H471K0M1H3A,6
"C86, C87, C88",220p,CAP_DISC_P100mil,445-180773-1-ND,81-RCER71H221K0M1H3A,3
"C70, C71",SeeTable,CAP_DISC_P100mil,445-173593-1-ND,81-RCER71H223K0K1H3B,2
"C80, C81",2200pF,CAP_DISC_P100mil,445-173592-1-ND,81-RCER71H222K0M1H3A,2
C36,47u/16V,CAP_RADIAL_P5.08MM_D6MM,P19514CT-ND,667-ECA-1CM470B,1
C43,220uF/16V,CAP_RADIAL_P5.08MM_D6MM,10-ECA-1CHG221BCT-ND,667-ECA-1CHG221B,1
C44,"2,2u",CAP_RADIAL_P5.08MM_D6MM,P15752CT-ND,667-ECA-1HHG2R2B,1
C56,0.01,CAP_DISC_P100mil,490-7513-1-ND,81-RCER71H103K0M1H3A,1
C58,100u/16V,CAP_RADIAL_P5.12MM_D10MM,10-ECA-1CHG101BCT-ND,667-ECA-1CHG101B,1
C59,4.7,CAP_RADIAL_P5.08MM_D6MM,10-ECE-A1VKS4R7BCT-ND,667-ECE-A1EKS4R7B,1
C63,1000u,CAP_AXIAL_BIG,1572-1063-ND,594-MAL212535102E3,1
C65,220uF,CAP_RADIAL_P5.12MM_D12MM,10-EEU-EB1E221SBCT-ND,667-EEU-EB1E221SB,1
C66,330u,CAP_RADIAL_P5.12MM_D12MM,P15391TB-ND,667-ECA-1VM471B,1
C74,1000pF,CAP_DISC_P100mil,490-7511-1-ND,81-RCER71H102K0M1H3A,1
C77,10u,CAP_RADIAL_P5.08MM_D6MM,P19522CT-ND,667-ECA-1EM100B,1
C94,150pF,CAP_DISC_P100mil,445-173479-1-ND,81-RCE5C1H151J0K1H3B,1
"R3, R8, R12",1k,RESISTOR_P200mil_STANDING,13-MFR-25FTF52-1KCT-ND,,3
"R9, R17",10k,RESISTOR_P200mil_STANDING,13-MFR-25FRF52-10KCT-ND,,2
R1,470 1/2W,RESISTOR_AXIAL_600MIL,13-MFR50SFRF52-470RCT-ND,,1
R2,SeeTable,POWER_RESISTOR,Not Used,,1
R5,390,RESISTOR_P200mil_STANDING,MFR-25FBF52-390R-ND,,1
R14,100k,RESISTOR_P200mil_STANDING,13-MFR-25FRF52-100KCT-ND,,1
R16,560,RESISTOR_P200mil_STANDING,MFR-25FBF52-560R-ND,,1
R19,10,RESISTOR_AXIAL_600MIL,13-MFR50SFTE52-10RCT-ND,,1
R100,"1,8k",RESISTOR_P200mil_STANDING,13-MFR-25FTE52-1K8CT-ND,,1
R101,100,RESISTOR_P200mil_STANDING,100XBK-ND,,1
"L3, L4",10uH 0.5A,INDUCTOR_P200mil,399-SBT-0210-ND,80-SBT-0210,2
L1,CHOKE,CHOKE_FILTER,?,,1
L2,"2,2u",INDUCTOR_P500mil,M10140-ND,652-78F2R2J-RC,1
"U1, U2",MOS6526,PDIP-40,,,2
"U10, U11",4164 DRAM,PDIP-18,,,2
"U18, U21",CD4066,PDIP-14,296-2061-5-ND,,2
U3,74LS08,PDIP-14,296-1633-5-ND,595-SN74HCT08N,1
U4,27128B,PDIP-28,,,1
U5,2332C,PDIP-24,,,1
U6,8500,PDIP-40,,,1
U7,VIC_II,PDIP-40,,,1
U8,251715-01,PLA_252535-01,,,1
U9,SID,PDIP-28,,,1
U19,COLOR_RAM_2114,PDIP-18,,,1
U20,MOS8701,PDIP-16,,,1
U22,74LS06,PDIP-14,296-15069-5-ND, 595-SN7406NE4,1
U23,74LS14,PDIP-14,296-1643-5-ND, 595-SN74HCT14N,1
Y1,17.734475 MHz,CRYSTAL,887-2042-ND,,1
F1,"1,5A",FUSE,283-2623-ND,504-BK/AGC-1-1/2-R,1
SW1,~,POWER_SWITCH,360-4016-ND,,1
"CR5, CR9, CR11, CR12, CR13, CR14, CR15, CR16, CR17, CR18, CR19, CR20, CR21",1N914,RECTIFIER,1N914FS-ND,78-1N4148,13
"EM1, EM2, EM3, EM4, EM5, EM6, EM7, EM8, EM9",270pF 100V,T-FILTER,DSS1NB32A271Q91A,81-DSS1NB32A271Q91A,9
", , , , , , ",,,,,7
"FB2, FB3, FB4",FERRITE_BEAD,FERRITE_P200mil_STANDING,240-2513-1-ND,81-BL01RN1A1F1J ,3
"CN8, CN9",~,JOYPORT_DB9,625-009-262-033-ND,,2
"CR3, CR4",1N4001,RECTIFIER,1N4001-E3/54GICT-ND,625-1N4001-E3/54,2
"DA1, DA4",DIODE_ARRAY_COMMON_Anoda,diodepackage,NU,NU,2
"DA2, DA3",DIODE_ARRAY_COMMON_CATHODE,diodepackage,NU,NU,2
"Q2, Q3",2SC1815,Q_NPN_ECB,1514-2SC1815PBFREE-ND,,2
"RP3, RP5","3,3k",RP_ARRAY_7WAY,4608X-1-332LF-ND,,2
CN1,~,KEYBOARD_CONN_20pinlist,952-3306-ND,855-M20-9992045,1
CN4,~,SERIAL_CON_DIN6,,,1
CN5,~,AV_CON_DIN8,,,1
CN6,~,EXPANSION_PORT,,,1
CN7,~,POWER_CON_D7_250407,,,1
CN10,LED CONNECTOR,LED,952-3306-ND,855-M20-9992045,1
CR1,"VZ-6,8V",RECTIFIER,1N5235BVSCT-ND,78-1N5235B,1
CR2,BRIDGE_RECTIFIER,BRIDGE_RECTIFIER,PB64-BPMS-ND,583-BR34,1
